freq,wst_oper,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022
A,RCV_REU,PC,LT	92.4 	94.4 	95 	95.4 	95.1 	95.4 	95.1 	95.1 	95.7 	95.6
A,RCV_REU,PC,LU	95 	95 	97 	96 	96.2 	95.9 	97.8 	98 	98 	97.9
A,RCV_REU,PC,LV	92.6 	92.4 	87 	94.5 	84.1 	96 	89.1 	84.6 	85.8 	91.2
A,RCV_REU,PC,MT	91.9 	45 	77.7 	54.4 	56.1 	81 	79.2 	90.1 	80.8 	84.1
A,RCV_REU,PC,NL	95.9 	96 	97 	98.7 	98.7 	98.4 	98.5 	98.3 	98.7 	98.7
A,RCV_REU,PC,NO	94.7 	97.5 	96.7 	97.7 	97.2 	97.4 	96.6 	97.2 	96.9 	97.7
A,RCV_REU,PC,PL	90.3 	88 	97 	96.3 	98.6 	95.3 	122.2 	109 	97.2 	97.7
A,RCV_REU,PC,PT	90.5 	92.7 	92.7 	92.1 	93.8 	94.9 	96.7 	98.9 	95.7 	92.2
A,RCV_REU,PC,RO	87.4 	88.5 	90.8 	92.1 	92.6 	92.2 	92.4 	91.6 	: 	:
A,RCV_REU,PC,SE	91.3 	91.3 	96.8 	94.6 	97.2 	95.3 	96.8 	96.7 	96.8 	97.6
A,RCV_REU,PC,SI	: 	91.3 	95.6 	96.5 	109.9 	103.7 	95.4 	117.2 	96.9 	93.1
A,RCV_REU,PC,SK	93.7 	96 	89.4 	97.4 	97.5 	96.8 	97.1 	97.1 	97.1 	97.1
A,RCV_REU,T,AT	63294 	51250 	42566 	43948 	55848 	59813 	52422 	49620 	57705 	38578
A,RCV_REU,T,BE	135398 	130620 	115134 	114880 	144511 	172713 	163908 	134772 	126443 	99979
A,RCV_REU,T,BG	59046 	78180 	83713 	88016 	103236 	98671 	85277 	71020 	86530 	97349
A,RCV_REU,T,CY	10178 	9447 	7393 	4750 	4741 	7037 	9507 	8781 	9449 	7647
A,RCV_REU,T,CZ	99100 	105673 	125795 	133460 	153578 	170126 	180830 	181309 	200173 	214872
A,RCV_REU,T,DE	509308 	509719 	454531 	411720 	521713 	570046 	469515 	429341 	433622 	306933
A,RCV_REU,T,DK	111783 	102072 	107124 	98050 	133849 	134196 	147018 	115720 	121202 	96317
A,RCV_REU,T,EE	14165 	14692 	12972 	12667 	17557 	20081 	17354 	17741 	23860 	17225
A,RCV_REU,T,EL	74645 	68078 	57880 	49201 	38462 	49783 	37562 	43148 	50563 	47339
A,RCV_REU,T,ES	706457 	712213 	688658 	600385 	612422 	795092 	877943 	782532 	806169 	713174
A,RCV_REU,T,EU27_2020	4831000 i	4824000 	4843000 	4757000 	5348000 	6278000 	6567000 	5824000 	6113000 i	5155000 i
A,RCV_REU,T,FI	94325 	99060 	104428 	119933 	134433 	125778 	107700 	116426 	122088 	112986
A,RCV_REU,T,FR	1081498 	1018466 	997690 	1046235 	1155539 	1617676 	1712052 	1424417 	1452125 	1278147
A,RCV_REU,T,HR	29017 	21728 	19511 	18814 	24600 	29924 	44168 	51718 	37158 	38693
A,RCV_REU,T,HU	13638 	13282 	12743 	11999 	13807 	15258 	20857 	20131 	18091 	17717
A,RCV_REU,T,IE	89763 	83635 	72909 	96616 	141129 	163944 	150825 	122375 	147789 	106775
A,RCV_REU,T,IS	5755 	6679 	7608 	8266 	12347 	15308 	15754 	14657 	13228 	10846
A,RCV_REU,T,IT	794627 	811863 	878394 	897117 	912082 	992864 	1088653 	1038612 	1184320 	872459
A,RCV_REU,T,LI	315 	183 	237 	249 	316 	215 	183 	191 	143 	14
A,RCV_REU,T,LT	28678 	31407 	29488 	26480 	25817 	26308 	28613 	38938 	41496 	39769
A,RCV_REU,T,LU	2366 	2145 	1689 	1972 	1970 	3272 	3394 	2938 	3073 	1884
A,RCV_REU,T,LV	8367 	8301 	7821 	7802 	9821 	10622 	9801 	10746 	9616 	11965
A,RCV_REU,T,MT	965 	1275 	3734 	3438 	4586 	6014 	5617 	7522 	9153 	7005
A,RCV_REU,T,NL	181433 	188296 	168943 	201754 	203718 	219614 	183737 	205149 	207463 	149418
